2020Ranks,CountyName,Pop2020,PopDen2020
1,Harris,"4,731,145","2,777.30"
2,Dallas,"2,613,539","2,999.70"
3,Tarrant,"2,110,640","2,444.00"
4,Bexar,"2,009,324","1,620.70"
5,Travis,"1,290,188","1,303.00"
6,Collin,"1,064,465","1,265.40"
7,Denton,"906,422","1,031.90"
8,Hidalgo,"870,781",554.3
9,El Paso,"865,657",854.8
10,Fort Bend,"822,779",955.1
11,Montgomery,"620,443",595.6
12,Williamson,"609,017",544.6
13,Cameron,"421,017",472.6
14,Brazoria,"372,031",274
15,Bell,"370,647",352.7
16,Nueces,"353,178",421.2
17,Galveston,"350,682",926.8
18,Lubbock,"310,639",346.9
19,Webb,"267,114",79.5
20,McLennan,"260,579",251.3
21,Jefferson,"256,526",292.7
22,Hays,"241,067",355.6
23,Brazos,"233,849",399.4
24,Smith,"233,479",253.4
25,Ellis,"192,455",205.7
26,Johnson,"179,927",248.3
27,Guadalupe,"172,706",242.8
28,Midland,"169,983",188.8
29,Ector,"165,171",184
30,Comal,"161,501",288.7
31,Parker,"148,222",164.1
32,Kaufman,"145,310",186.1
33,Taylor,"143,208",156.4
34,Randall,"140,753",154.4
35,Grayson,"135,543",145.3
36,Wichita,"129,350",206
37,Gregg,"124,239",454.6
38,Tom Green,"120,003",78.8
39,Potter,"118,525",130.5
40,Rockwall,"107,819",848.7
41,Hunt,"99,956",118.9
42,Bastrop,"97,216",109.5
43,Bowie,"92,893",105
44,Liberty,"91,628",79.1
45,Victoria,"91,319",103.5
46,Angelina,"86,395",108.3
47,Orange,"84,808",254.2
48,Coryell,"83,093",79
49,Henderson,"82,150",94
50,Walker,"76,400",97.4
51,Harrison,"68,839",76.5
52,San Patricio,"68,755",99.1
53,Wise,"68,632",75.9
54,Starr,"65,920",53.9
55,Nacogdoches,"64,653",68.3
56,Hood,"61,598",146.4
57,Van Zandt,"59,541",70.7
58,Anderson,"57,922",54.5
59,Maverick,"57,887",45.3
60,Waller,"56,794",110.6
61,Hardin,"56,231",63.1
62,Navarro,"52,624",52.1
63,Kerr,"52,598",47.7
64,Rusk,"52,214",56.5
65,Medina,"50,748",38.3
66,Cherokee,"50,412",47.9
67,Polk,"50,123",47.4
68,Lamar,"50,088",55.2
69,Wilson,"49,753",61.9
70,Burnet,"49,130",49.4
71,Atascosa,"48,981",40.2
72,Val Verde,"47,586",15.1
73,Chambers,"46,571",78
74,Caldwell,"45,883",84.1
75,Wood,"44,843",69.5
76,Kendall,"44,279",66.8
77,Erath,"42,545",39.3
78,Cooke,"41,668",47.6
79,Wharton,"41,570",38.3
80,Upshur,"40,892",70.1
81,Jim Wells,"38,891",45
82,Brown,"38,095",40.3
83,Hopkins,"36,787",48
84,Matagorda,"36,255",33
85,Hill,"35,874",37.4
86,Washington,"35,805",59.3
87,Fannin,"35,662",40
88,Howard,"34,860",38.7
89,Jasper,"32,980",35.1
90,Hale,"32,522",32.4
91,Titus,"31,247",77
92,Bee,"31,047",35.3
93,Kleberg,"31,040",35.2
94,Austin,"30,167",46.7
95,Grimes,"29,268",37.2
96,Cass,"28,454",30.4
97,Palo Pinto,"28,409",29.8
98,San Jacinto,"27,402",48.1
99,Gillespie,"26,725",25.3
100,Milam,"24,754",24.3
101,Uvalde,"24,564",15.8
102,Fayette,"24,435",25.7
103,Shelby,"24,022",30.2
104,Aransas,"23,830",94.5
105,Panola,"22,491",28.1
106,Limestone,"22,146",24.5
107,Houston,"22,066",17.9
108,Lampasas,"21,627",30.3
109,Gaines,"21,598",14.4
110,Hockley,"21,537",23.7
111,Moore,"21,358",23.7
112,Llano,"21,243",22.7
113,Gray,"21,227",22.9
114,Bandera,"20,851",26.4
115,Hutchinson,"20,617",23.2
116,Colorado,"20,557",21.4
117,Lavaca,"20,337",21
118,Willacy,"20,164",34.1
119,Calhoun,"20,106",39.7
120,Montague,"19,965",21.4
121,DeWitt,"19,824",21.8
122,Tyler,"19,798",21.4
123,Jones,"19,663",21.2
124,Gonzales,"19,653",18.4
125,Freestone,"19,435",22.1
126,Andrews,"18,610",12.4
127,Deaf Smith,"18,583",12.4
128,Frio,"18,385",16.2
129,Bosque,"18,235",18.6
130,Young,"17,867",19.5
131,Eastland,"17,725",19.1
132,Burleson,"17,642",26.8
133,Lee,"17,478",27.8
134,Falls,"16,968",22.2
135,Scurry,"16,932",18.7
136,Robertson,"16,757",19.6
137,Leon,"15,719",14.6
138,Pecos,"15,193",3.2
139,Jackson,"14,988",18.1
140,Reeves,"14,748",5.6
141,Nolan,"14,738",16.2
142,Karnes,"14,710",19.7
143,Zapata,"13,889",13.9
144,Callahan,"13,708",15.2
145,Trinity,"13,602",19.6
146,Comanche,"13,594",14.5
147,Madison,"13,455",28.9
148,Lamb,"13,045",12.8
149,Wilbarger,"12,887",13.3
150,Camp,"12,464",63.6
151,Dawson,"12,456",13.8
152,Newton,"12,217",13.1
153,Rains,"12,164",53
154,Morris,"11,973",47.5
155,Terry,"11,831",13.3
156,Ward,"11,644",13.9
157,Red River,"11,587",11.2
158,Blanco,"11,374",16
159,Live Oak,"11,335",10.9
160,Franklin,"10,359",36.4
161,Clay,"10,218",9.4
162,Ochiltree,"10,015",10.9
163,Runnels,"9,900",9.4
164,Sabine,"9,894",20.1
165,Parmer,"9,869",11.2
166,Duval,"9,831",5.5
167,Marion,"9,725",25.5
168,Zavala,"9,670",7.5
169,Brewster,"9,546",1.5
170,Somervell,"9,205",49.4
171,Stephens,"9,101",10.1
172,Mitchell,"8,990",9.9
173,Dimmit,"8,615",6.5
174,Archer,"8,560",9.5
175,Jack,"8,472",9.3
176,Hamilton,"8,222",9.8
177,San Augustine,"7,918",14.9
178,Winkler,"7,791",9.3
179,Yoakum,"7,694",9.6
180,Coleman,"7,684",6.1
181,McCulloch,"7,630",7.2
182,Castro,"7,371",8.2
183,Dallam,"7,115",4.7
184,Brooks,"7,076",7.5
185,Goliad,"7,012",8.2
186,Swisher,"6,971",7.8
187,Bailey,"6,904",8.4
188,Refugio,"6,741",8.7
189,Childress,"6,664",9.6
190,La Salle,"6,664",4.5
191,Presidio,"6,131",1.6
192,Garza,"5,816",6.5
193,Carson,"5,807",6.3
194,San Saba,"5,730",5
195,Lynn,"5,596",6.3
196,Haskell,"5,416",6
197,Floyd,"5,402",5.4
198,Hartley,"5,382",3.7
199,Hansford,"5,285",5.7
200,Martin,"5,237",5.7
201,Delta,"5,230",20.4
202,Crosby,"5,133",5.7
203,Wheeler,"4,990",5.5
204,Jim Hogg,"4,838",4.3
205,Crane,"4,675",6
206,Mills,"4,456",6
207,Kimble,"4,286",3.4
208,Mason,"3,953",4.3
209,Fisher,"3,672",4.1
210,Hardeman,"3,549",5.1
211,Baylor,"3,465",4
212,Reagan,"3,385",2.9
213,Hemphill,"3,382",3.7
214,Sutton,"3,372",2.3
215,Knox,"3,353",3.9
216,Upton,"3,308",2.7
217,Concho,"3,303",3.4
218,Coke,"3,285",3.6
219,Donley,"3,258",3.5
220,Hudspeth,"3,202",0.7
221,Kinney,"3,129",2.3
222,Shackelford,"3,105",3.4
223,Crockett,"3,098",1.1
224,Lipscomb,"3,059",3.3
225,Hall,"2,825",3.2
226,Sherman,"2,782",3
227,Real,"2,758",3.9
228,Collingsworth,"2,652",2.9
229,Cochran,"2,547",3.3
230,Schleicher,"2,451",1.9
231,Culberson,"2,188",0.6
232,Jeff Davis,"1,996",0.9
233,Menard,"1,962",2.2
234,Armstrong,"1,848",2
235,Dickens,"1,770",2
236,Oldham,"1,758",1.2
237,Irion,"1,513",1.4
238,Throckmorton,"1,440",1.6
239,Briscoe,"1,435",1.6
240,Edwards,"1,422",0.7
241,Cottle,"1,380",1.5
242,Sterling,"1,372",1.5
243,Stonewall,"1,245",1.4
244,Glasscock,"1,116",1.2
245,Foard,"1,095",1.6
246,Motley,"1,063",1.1
247,Roberts,827,0.9
248,Terrell,760,0.3
249,Kent,753,0.8
250,Borden,631,0.7
251,McMullen,600,0.5
252,Kenedy,350,0.2
253,King,265,0.3
254,Loving,64,0.1
